Row/Column,Label,Graphic,Behaviors
1/1,like,like.png,speak
1/2,want,want.png,speak
1/3,get,get.png,speak
1/4,make,make.png,speak
1/5,good,good.png,speak
1/6,more,more.png,speak
2/1,not,not.png,speak
2/2,go,go.png,speak
2/3,look,look.png,speak
2/4,turn,turn.png,speak
2/5,help,help.png,speak
2/6,different,different.png,speak
3/1,I,I.png,speak
3/2,he,he.png,speak
3/3,open,open.png,speak
3/4,do,do.png,speak
3/5,put,put.png,speak
3/6,same,same.png,speak
4/1,you,you.png,speak
4/2,she,she.png,speak
4/3,that,that.png,speak
4/4,up,up.png,speak
4/5,all,all.png,speak
4/6,some,some.png,speak
5/1,it,it.png,speak
5/2,here,here.png,speak
5/3,in,in.png,speak
5/4,on,on.png,speak
5/5,can,can.png,speak
5/6,finished,finished.png,speak
6/1,where,where.png,speak
6/2,what,what.png,speak
6/3,why,why.png,speak
6/4,who,who.png,speak
6/5,when,when.png,speak
6/6,stop,stop.png,speak
