Row/Column,Label,Msg,tag_0,tag_1,tag_3,say,Graphic,Behaviors,Word forms,Grammar sequence(s)
1/1,like,like,,,,like,like.png,"speak, add to composition space","like, likes, liked, liking",
1/2,want,want,,,,,want.png,"speak, add to composition space","want, wants, wanted, wanting",
1/3,get,get,,,,,get.png,"speak, add to composition space","get, gets, got, getting",
1/4,make,make,,,,,make.png,"speak, add to composition space","make, makes, made, making",
1/5,good,good,,,,,good.png,"speak, add to composition space",,
1/6,more,more,,,,,more.png,"speak, add to composition space",,
1/7,,,,,,,,,,
1/8,,,,,,,,,,
1/9,,,,,,,,,,
1/10,people,people,,,,,,link to/open 'people' content,,
2/1,not,not,,,,,not.png,"speak, add to composition space",,
2/2,go,go,,,,,go.png,"speak, add to composition space","go, goes, went, gone, going",
2/3,look,look,,,,,look.png,"speak, add to composition space","look, looks, looked, looking",
2/4,turn,turn,,,,,turn.png,"speak, add to composition space","turn, turns, turned, turning",
2/5,help,help,,,,,help.png,"speak, add to composition space","help, helps, helped, helping",
2/6,different,different,,,,,different.png,"speak, add to composition space",,
2/7,,,,,,,,,,
2/8,,,,,,,,,,
2/9,,,,,,,,,,
2/10,places,places,,,,,,link to/open 'places' content,,
3/1,I,I,,,,,I.png,"speak, add to composition space","I, my, mine",
3/2,he,he,,,,,he.png,"speak, add to composition space","he, him, his",
3/3,open,open,,,,,open.png,"speak, add to composition space","open, opens, opened, opening",
3/4,do,do,,,,,do.png,"speak, add to composition space","do, does, did, done",
3/5,put,put,,,,,put.png,"speak, add to composition space","put, puts, putting",
3/6,same,same,,,,,same.png,"speak, add to composition space",,
3/7,,,,,,,,,,
3/8,,,,,,,,,,
3/9,,,,,,,,,,
3/10,describing,describing,,,,,,link to/open 'describing' content,,
4/1,you,you,,,,,you.png,"speak, add to composition space",,
4/2,she,she,,,,,she.png,"speak, add to composition space","she, her, hers",
4/3,that,that,,,,,that.png,"speak, add to composition space",,
4/4,up,up,,,,,up.png,"speak, add to composition space",,
4/5,all,all,,,,,all.png,"speak, add to composition space",,
4/6,some,some,,,,,some.png,"speak, add to composition space",,
4/7,,,,,,,,,,
4/8,,,,,,,,,,
4/9,,,,,,,,,,
4/10,,,,,,,,,,
5/1,it,it,,,,,it.png,,,
5/2,here,here,,,,,here.png,,,
5/3,in,in,,,,,in.png,,,
5/4,on,on,,,,,on.png,,,
5/5,can,can,,,,,can.png,,,
5/6,finished,finished,,,,,finished.png,,,
5/7,,,,,,,,,,
5/8,,,,,,,,,,
5/9,,,,,,,,,,
5/10,,,,,,,,,,
6/1,where,where,,,,,where.png,,,
6/2,what,what,,,,,what.png,,,
6/3,why,why,,,,,why.png,,,
6/4,who,who,,,,,who.png,,,
6/5,when,when,,,,,when.png,,,
6/6,stop,stop,,,,,stop.png,,"stop, stops, stopped, stopping",
6/7,,,,,,,,,,
6/8,Word morph,Word morph,,,,,,opens a pop-up or drop-down list with word forms for last word selected,,
6/9,Delete,Delete,,,,,,delete last word in composition space,,
6/10,Clear,Clear,,,,,,clear contents of composition space,,
