tags_0,tags_1,message,x,y,w,h,invisible,image
keyboard,*,,,,,,,qwerty.svg
keyboard,U,~,0,0.0,6.67,20.0,0,
keyboard,U,!,6.67,0.0,6.67,20.0,0,
keyboard,U,@,13.33,0.0,6.67,20.0,0,
keyboard,U,#,20.0,0.0,6.67,20.0,0,
keyboard,U,$,26.67,0.0,6.67,20.0,0,
keyboard,U,%,33.33,0.0,6.67,20.0,0,
keyboard,U,^,40.0,0.0,6.67,20.0,0,
keyboard,U,&,46.67,0.0,6.67,20.0,0,
keyboard,U,*,53.33,0.0,6.67,20.0,0,
keyboard,U,(,60.0,0.0,6.67,20.0,0,
keyboard,U,),66.67,0.0,6.67,20.0,0,
keyboard,U,_,73.33,0.0,6.67,20.0,0,
keyboard,U,+,80.0,0.0,6.67,20.0,0,
keyboard,U,Backspace,86.67,0.0,13.33,20.0,0,
keyboard,L,`,0,0.0,6.67,20.0,0,
keyboard,L,1,6.67,0.0,6.67,20.0,0,
keyboard,L,2,13.33,0.0,6.67,20.0,0,
keyboard,L,3,20.0,0.0,6.67,20.0,0,
keyboard,L,4,26.67,0.0,6.67,20.0,0,
keyboard,L,5,33.33,0.0,6.67,20.0,0,
keyboard,L,6,40.0,0.0,6.67,20.0,0,
keyboard,L,7,46.67,0.0,6.67,20.0,0,
keyboard,L,8,53.33,0.0,6.67,20.0,0,
keyboard,L,9,60.0,0.0,6.67,20.0,0,
keyboard,L,0,66.67,0.0,6.67,20.0,0,
keyboard,L,-,73.33,0.0,6.67,20.0,0,
keyboard,L,=,80.0,0.0,6.67,20.0,0,
keyboard,L,Backspace,86.67,0.0,13.33,20.0,0,
keyboard,U,Tab,0,20.0,10.0,20.0,0,
keyboard,U,Q,10.0,20.0,6.67,20.0,0,
keyboard,U,W,16.67,20.0,6.67,20.0,0,
keyboard,U,E,23.33,20.0,6.67,20.0,0,
keyboard,U,R,30.0,20.0,6.67,20.0,0,
keyboard,U,T,36.67,20.0,6.67,20.0,0,
keyboard,U,Y,43.33,20.0,6.67,20.0,0,
keyboard,U,U,50.0,20.0,6.67,20.0,0,
keyboard,U,I,56.67,20.0,6.67,20.0,0,
keyboard,U,O,63.33,20.0,6.67,20.0,0,
keyboard,U,P,70.0,20.0,6.67,20.0,0,
keyboard,U,{,76.67,20.0,6.67,20.0,0,
keyboard,U,},83.33,20.0,6.67,20.0,0,
keyboard,U,|,90.0,20.0,10.0,20.0,0,
keyboard,L,Tab,0,20.0,10.0,20.0,0,
keyboard,L,q,10.0,20.0,6.67,20.0,0,
keyboard,L,w,16.67,20.0,6.67,20.0,0,
keyboard,L,e,23.33,20.0,6.67,20.0,0,
keyboard,L,r,30.0,20.0,6.67,20.0,0,
keyboard,L,t,36.67,20.0,6.67,20.0,0,
keyboard,L,y,43.33,20.0,6.67,20.0,0,
keyboard,L,u,50.0,20.0,6.67,20.0,0,
keyboard,L,i,56.67,20.0,6.67,20.0,0,
keyboard,L,o,63.33,20.0,6.67,20.0,0,
keyboard,L,p,70.0,20.0,6.67,20.0,0,
keyboard,L,[,76.67,20.0,6.67,20.0,0,
keyboard,L,],83.33,20.0,6.67,20.0,0,
