tags_0,row,column,label,symbol,icon,group,pronounce
L,1,1,q,,,,
L,1,2,w,,,,
L,1,3,e,,,,
L,1,4,r,,,,
L,1,5,t,,,,
L,1,6,y,,,,
L,1,7,u,,,,
L,1,8,i,,,,
L,1,9,o,,,,
L,1,10,p,,,,
L,2,1,,,,,
L,2,2,a,,,,
L,2,3,s,,,,
L,2,4,d,,,,
L,2,5,f,,,,
L,2,6,g,,,,
L,2,7,h,,,,
L,2,8,j,,,,
L,2,9,k,,,,
L,2,10,l,,,,
L,3,1,,,,,
L,3,2,,,,,
L,3,3,z,,,,
L,3,4,x,,,,
L,3,5,c,,,,
L,3,6,v,,,,
L,3,7,b,,,,
L,3,8,n,,,,
L,3,9,m,,,,
L,3,10,,,,,
L,4,1,CAPS,,,U,
L,4,2,,,,,
L,4,3,,,,,
L,4,4,SPACE,,,,
L,4,5,SPACE,,,,
L,4,6,SPACE,,,,
L,4,7,,,,,
L,4,8,,,,,
L,4,9,,,,,
L,6,2,Numbers,num.png,,N,
N,1,1,1,one.png,,,
N,1,2,2,two.png,,,
N,1,3,3,three.png,,,
N,2,1,4,four.png,,,
N,2,2,5,five.png,,,
N,2,3,6,six.png,,,
N,3,1,7,seven.png,,,
N,3,2,8,eight.png,,,
N,3,3,9,nine.png,,,
N,4,2,0,zero.png,,,
N,6,1,Keyboard,,kb.png,U,
U,1,1,Q,,,,
U,1,2,W,,,,
U,1,3,E,,,,
U,1,4,R,,,,
U,1,5,T,,,,
U,1,6,Y,,,,
U,1,7,U,,,,
U,1,8,I,,,,
U,1,9,O,,,,
U,1,10,P,,,,
U,2,1,,,,,
U,2,2,A,,,,
U,2,3,S,,,,
U,2,4,D,,,,
U,2,5,F,,,,
U,2,6,G,,,,
U,2,7,H,,,,
U,2,8,J,,,,
U,2,9,K,,,,
U,2,10,L,,,,
U,3,1,,,,,
U,3,2,,,,,
U,3,3,Z,,,,
U,3,4,X,,,,
U,3,5,C,,,,
U,3,6,V,,,,
U,3,7,B,,,,
U,3,8,N,,,,
U,3,9,M,,,,
U,3,10,,,,,
U,4,1,lower,,,L,
U,4,4,SPACE,,,,
U,4,5,SPACE,,,,
U,4,6,SPACE,,,,
*,6,2,Numbers,,num.png,N,
*,5,8,.,,,,
*,5,9,",",,,,
*,6,8,?,,,,
*,6,9,!,,,,
*,4,10,Delete,,,,
*,5,10,Clear,,,,
*,6,10,Speak,,,,
