tags_0,tags_1,row,column,label,symbol,icon,group
base,,1,1,like,like.png,like,
morph,like,,,like,,,
morph,like,,,likes,,,
morph,like,,,liked,,,
morph,like,,,liking,,,
base,,1,2,want,want.png,want,
morph,want,,,want,,,
morph,want,,,wants,,,
morph,want,,,wanted,,,
morph,want,,,wanting,,,
base,,1,3,get,get.png,get,
morph,get,,,get,,,
morph,get,,,gets,,,
morph,get,,,got,,,
morph,get,,,getting,,,
base,,1,4,make,make.png,make,
morph,make,,,make,,,
morph,make,,,makes,,,
morph,make,,,made,,,
morph,make,,,making,,,
base,,1,5,good,good.png,good,
base,,1,6,more,more.png,more,
base,,1,7,and,and.png,,
base,,1,8,will,will.png,,
base,,1,9,with,with.png,,
base,,1,10,people,people.png,,people
base,,2,1,not,not.png,not,
base,,2,2,go,go.png,go,
morph,go,,,go,,,
morph,go,,,goes,,,
morph,go,,,went,,,
morph,go,,,gone,,,
morph,go,,,going,,,
base,,2,3,look,look.png,look,
morph,look,,,look,,,
morph,look,,,looks,,,
morph,look,,,looked,,,
morph,look,,,looking,,,
base,,2,4,turn,turn.png,turn,
morph,turn,,,turn,,,
morph,turn,,,turns,,,
morph,turn,,,turned,,,
morph,turn,,,turning,,,
base,,2,5,help,help.png,help,
morph,help,,,help,,,
morph,help,,,helps,,,
morph,help,,,helped,,,
morph,help,,,helping,,,
base,,2,6,different,different.png,different,
base,,2,7,a,a.png,,
base,,2,8,of,of.png,,
base,,2,9,so,so.png,,
base,,2,10,places,place.png,,places
base,,3,1,I,I.png,I,
morph,I,,,I,,,
morph,I,,,my,,,
morph,I,,,mine,,,
base,,3,2,he,he.png,he,
morph,he,,,he,,,
morph,he,,,him,,,
morph,he,,,his,,,
base,,3,3,open,open.png,open,
morph,open,,,open,,,
morph,open,,,opens,,,
morph,open,,,opened,,,
morph,open,,,opening,,,
base,,3,4,do,do.png,do,
morph,do,,,do,,,
morph,do,,,does,,,
morph,do,,,did,,,
morph,do,,,done,,,
base,,3,5,put,put.png,put,
morph,put,,,put,,,
morph,put,,,puts,,,
morph,put,,,putting,,,
base,,3,6,same,same.png,same,
base,,3,7,because,because.png,,
base,,3,8,time,time.png,,
base,,3,9,think,think.png,,
morph,think,,,think,,,
morph,think,,,thinks,,,
morph,think,,,thought,,,
morph,think,,,thinking,,,
base,,3,10,describing,describe.png,,describing
base,,4,1,you,you.png,you,
morph,you,,,your,,,
morph,you,,,yours,,,
morph,,4,2,she,she.png,she,
morph,she,,,she,,,
morph,she,,,her,,,
morph,she,,,hers,,,
base,,4,3,that,that.png,that,
base,,4,4,up,up.png,up,
base,,4,5,all,all.png,all,
base,,4,6,some,some.png,some,
base,,4,7,to,to.png,,
base,,4,8,for,for.png,,
base,,4,9,the,the.png,,
base,,4,10,Delete,,,
base,,5,1,it,it.png,it,
base,,5,2,here,here.png,here,
base,,5,3,in,in.png,in,
base,,5,4,on,on.png,on,
base,,5,5,can,can.png,can,
base,,5,6,finished,finished.png,finished,
base,,5,7,be,be.png,,
morph,be,,,be,,,
morph,be,,,am,,,
morph,be,,,is,,,
morph,be,,,are,,,
morph,be,,,was,,,
morph,be,,,were,,,
morph,be,,,being,,,
morph,be,,,been,,,
morph,be,,,will be,,,
base,,5,8,have,have.png,,
base,,5,9,here,here.png,,
base,,5,10,Clear,,,
base,,6,1,where,where.png,where,
base,,6,2,what,what.png,what,
base,,6,3,why,why.png,why,
base,,6,4,who,who.png,who,
base,,6,5,when,when.png,when,
base,,6,6,stop,stop.png,stop,
morph,stop,,,stop,,,
morph,stop,,,stops,,,
morph,stop,,,stopped,,,
morph,stop,,,stopping,,,
base,,6,7,but,but.png,but,
base,,6,8,know,know.png,,
morph,know,,,know,,,
morph,know,,,knows,,,
morph,know,,,knew,,,
morph,know,,,knowing,,,
base,,6,9,Morph,,,
base,,6,10,Speak,,,
group,people,,,Billy,,,
group,people,,,Suzy,,,
group,people,,,Zoe,,,
group,people,,,Lucy,,,
group,people,,,Ivy,,,
group,people,,,Teacher,teacher.png,,
group,places,,,home,home.png,,
group,places,,,school,school.png,,
group,places,,,mall,mall.png,,
group,places,,,playground,playground.png,,
group,places,,,grandmas,grandma.png,,
group,places,,,somewhere,somewhere.png,,
group,describing,,,red,red.png,,
group,describing,,,big,big.png,,
group,describing,,,scary,scary.png,,
