row,column,label,symbol,pronounce
1,1,like,like.png,
1,3,get,get.png,
1,2,want,want.png,
1,4,make,make.png,
1,5,good,good.png,
1,6,more,more.png,
2,1,not,not.png,
2,2,go,go.png,
2,3,look,look.png,
2,4,turn,turn.png,
2,5,help,help.png,
2,6,different,different.png,
3,1,I,I.png,
3,2,he,he.png,
3,3,open,open.png,
3,4,do,do.png,
3,5,put,put.png,
3,6,same,same.png,
4,1,you,you.png,
4,2,she,she.png,
4,3,that,that.png,
4,4,up,up.png,
4,5,all,all.png,
4,6,some,some.png,
5,1,it,it.png,eeyat
5,2,here,here.png,
5,3,in,in.png,
5,4,on,on.png,
5,5,can,can.png,
5,6,finished,finished.png,
6,1,where,where.png,
6,2,what,what.png,
6,3,why,why.png,
6,4,who,who.png,
6,5,when,when.png,
6,6,stop,stop.png,
