tags_0,row,column,label,symbol,icon,group
,1,1,like,like.png,like,
like,,,like,,,
like,,,likes,,,
like,,,liked,,,
like,,,liking,,,
,1,2,want,want.png,want,
want,,,want,,,
want,,,wants,,,
want,,,wanted,,,
want,,,wanting,,,
,1,3,get,get.png,get,
get,,,get,,,
get,,,gets,,,
get,,,got,,,
get,,,getting,,,
,1,4,make,make.png,make,
make,,,make,,,
make,,,makes,,,
make,,,made,,,
make,,,making,,,
,1,5,good,good.png,good,
,1,6,more,more.png,more,
,1,7,and,and.png,,
,1,8,will,will.png,,
,1,9,with,with.png,,
,1,10,people,people.png,,people
,2,1,not,not.png,not,
,2,2,go,go.png,go,
go,,,go,,,
go,,,goes,,,
go,,,went,,,
go,,,gone,,,
go,,,going,,,
,2,3,look,look.png,look,
look,,,look,,,
look,,,looks,,,
look,,,looked,,,
look,,,looking,,,
,2,4,turn,turn.png,turn,
turn,,,turn,,,
turn,,,turns,,,
turn,,,turned,,,
turn,,,turning,,,
,2,5,help,help.png,help,
help,,,help,,,
help,,,helps,,,
help,,,helped,,,
help,,,helping,,,
,2,6,different,different.png,different,
,2,7,a,a.png,,
,2,8,of,of.png,,
,2,9,so,so.png,,
,2,10,places,place.png,,places
,3,1,I,I.png,I,
I,,,I,,,
I,,,my,,,
I,,,mine,,,
,3,2,he,he.png,he,
he,,,he,,,
he,,,him,,,
he,,,his,,,
,3,3,open,open.png,open,
open,,,open,,,
open,,,opens,,,
open,,,opened,,,
open,,,opening,,,
,3,4,do,do.png,do,
do,,,do,,,
do,,,does,,,
do,,,did,,,
do,,,done,,,
,3,5,put,put.png,put,
put,,,put,,,
put,,,puts,,,
put,,,putting,,,
,3,6,same,same.png,same,
,3,7,because,because.png,,
,3,8,time,time.png,,
,3,9,think,think.png,,
think,,,think,,,
think,,,thinks,,,
think,,,thought,,,
think,,,thinking,,,
,3,10,describing,describe.png,,describing
,4,1,you,you.png,you,
you,,,your,,,
you,,,yours,,,
,4,2,she,she.png,she,
she,,,she,,,
she,,,her,,,
she,,,hers,,,
,4,3,that,that.png,that,
,4,4,up,up.png,up,
,4,5,all,all.png,all,
,4,6,some,some.png,some,
,4,7,to,to.png,,
,4,8,for,for.png,,
,4,9,the,the.png,,
,4,10,Delete,,,
,5,1,it,it.png,it,
,5,2,here,here.png,here,
,5,3,in,in.png,in,
,5,4,on,on.png,on,
,5,5,can,can.png,can,
,5,6,finished,finished.png,finished,
,5,7,be,be.png,,
,5,8,have,have.png,,
,5,9,here,here.png,,
,5,10,Clear,,,
,6,1,where,where.png,where,
,6,2,what,what.png,what,
,6,3,why,why.png,why,
,6,4,who,who.png,who,
,6,5,when,when.png,when,
,6,6,stop,stop.png,stop,
stop,,,stop,,,
stop,,,stops,,,
stop,,,stopped,,,
stop,,,stopping,,,
,6,7,but,but.png,but,
,6,8,know,know.png,,
know,,,know,,,
know,,,knows,,,
know,,,knew,,,
know,,,knowing,,,
,6,9,Morph,,,
,6,10,Speak,,,
people,,,Billy,,,
people,,,Suzy,,,
people,,,Zoe,,,
people,,,Lucy,,,
people,,,Ivy,,,
people,,,Teacher,teacher.png,,
places,,,home,home.png,,
places,,,school,school.png,,
places,,,mall,mall.png,,
places,,,playground,playground.png,,
places,,,grandmas,grandma.png,,
places,,,somewhere,somewhere.png,,
describing,,,red,red.png,,
describing,,,big,big.png,,
describing,,,scary,scary.png,,
