tags_0,tags_1,tags_2,tags_3,tags_4,label,link,topic,value
MENU,TASK,,,,Aches and Pains,Task Aches and Pains,Aches and Pains,
MENU,TASK,,,,Common Requests,Task Common Requests,Common Requests,
MENU,TASK,,,,Airport Check-in,Task Airport Check-in,Airport Check-in,
MENU,TASK,,,,Customs/Immigration,Task Customs/Immigration,Customs/Immigration,
MENU,TASK,,,,Locate,Task Locate,Locate,
MENU,TASK,,,,Clinical Information,Task Clinical Information,Clinical Information,
MENU,TASK,,,,Airport Security,Task Airport Security,Airport Security,
MENU,TASK,,,,Hotels/Sightseeing,Task Hotels/Sightseeing,Hotels/Sightseeing,
MENU,CHAT,,,,Greeting & Meeting,Chat Greeting & Meeting,Greeting & Meeting,
MENU,CHAT,,,,Christmas Party,Chat Christmas Party,Christmas Party,
MENU,CHAT,,,,D.   Fiden,Chat D.   Fiden,D.   Fiden,
MENU,STORY,,,,Phone Talk,Story Phone Talk,Phone Talk,
MENU,STORY,,,,Directions,Story Directions,Directions,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,How are you?,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,How have you been?,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,What have you been up to since I last saw you?,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,Are you OK.?,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,"I'm sorry, I remember we have met but I can't remember your name.",,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,Are you ignoring me?,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,Remember me?,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,What's up?,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,"I'm okay, and I'm on my way.",,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,The same as always.,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,Tell me your $$Identifiers=name$$.,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,Excuse me?,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,Wonderful!   I am blessed And highly favored!,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,It's nice to see you again.,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,Oh not too bad.,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,It's nice to meet you.,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,Lovely meeting you.,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,It was nice to have met you.,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,Thanks for asking.,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,"I'm pretty good, thanks.",,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,I'm tired today.,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,I've heard a lot about you.,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,Good to see you again.,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,Ciao.,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,See ya.,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,Goodnight.,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,Goodbye.,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,Safe trip.,,,
CHAT,Greeting & Meeting,Person.Me,Time.Present,Aspect.What,Blessings to you!,,,
