tags_mode,tags_filter,row,column,label,symbol,root,group
,she,1,1,likes,like.png,like,
,he,1,1,likes,like.png,like,
,*,1,1,like,like.png,like,
morph,like,,,like,,,
morph,like,,,likes,,,
morph,like,,,liked,,,
morph,like,,,liking,,,
,*,1,2,want,want.png,want,
morph,want,,,want,,,
morph,want,,,wants,,,
morph,want,,,wanted,,,
morph,want,,,wanting,,,
,*,1,3,get,get.png,get,
morph,get,,,get,,,
morph,get,,,gets,,,
morph,get,,,got,,,
morph,get,,,getting,,,
,*,1,4,make,make.png,make,
morph,make,,,make,,,
morph,make,,,makes,,,
morph,make,,,made,,,
morph,make,,,making,,,
,*,1,5,good,good.png,good,
,*,1,6,more,more.png,more,
,*,1,7,and,and.png,and,
,*,1,8,will,will.png,will,
,*,1,9,with,with.png,with,
,*,1,10,people,people.png,,people
,*,2,1,not,not.png,not,
,*,2,2,go,go.png,go,
morph,go,,,go,,,
morph,go,,,goes,,,
morph,go,,,went,,,
morph,go,,,gone,,,
morph,go,,,going,,,
,*,2,3,look,look.png,look,
morph,look,,,look,,,
morph,look,,,looks,,,
morph,look,,,looked,,,
morph,look,,,looking,,,
,*,2,4,turn,turn.png,turn,
morph,turn,,,turn,,,
morph,turn,,,turns,,,
morph,turn,,,turned,,,
morph,turn,,,turning,,,
,*,2,5,help,help.png,help,
morph,help,,,help,,,
morph,help,,,helps,,,
morph,help,,,helped,,,
morph,help,,,helping,,,
,*,2,6,different,different.png,different,
,*,2,7,a,a.png,a,
,*,2,8,of,of.png,of,
,*,2,9,so,so.png,so,
,*,2,10,places,place.png,place,places
,*,3,1,I,I.png,I,
morph,I,,,I,,,
morph,I,,,my,,,
morph,I,,,mine,,,
,*,3,2,he,he.png,he,
morph,he,,,he,,,
morph,he,,,him,,,
morph,he,,,his,,,
,*,3,3,open,open.png,open,
morph,open,,,open,,,
morph,open,,,opens,,,
morph,open,,,opened,,,
morph,open,,,opening,,,
,*,3,4,do,do.png,do,
morph,do,,,do,,,
morph,do,,,does,,,
morph,do,,,did,,,
morph,do,,,done,,,
,*,3,5,put,put.png,put,
morph,put,,,put,,,
morph,put,,,puts,,,
morph,put,,,putting,,,
,*,3,6,same,same.png,same,
,*,3,7,because,because.png,because,
,*,3,8,time,time.png,time,
,*,3,9,think,think.png,think,
morph,think,,,think,,,
morph,think,,,thinks,,,
morph,think,,,thought,,,
morph,think,,,thinking,,,
,*,3,10,describing,describe.png,,describing
,*,4,1,you,you.png,you,
morph,you,,,your,,,
morph,you,,,yours,,,
,*,4,2,she,she.png,she,
morph,she,,,she,,,
morph,she,,,her,,,
morph,she,,,hers,,,
,*,4,3,that,that.png,that,
,*,4,4,up,up.png,up,
,*,4,5,all,all.png,all,
,*,4,6,some,some.png,some,
,*,4,7,to,to.png,to,
,*,4,8,for,for.png,for,
,*,4,9,the,the.png,the,
,*,4,10,Delete,,,
,*,5,1,it,it.png,it,
,*,5,2,here,here.png,here,
,*,5,3,in,in.png,in,
,*,5,4,on,on.png,on,
,*,5,5,can,can.png,can,
,*,5,6,finished,finished.png,finished,
,*,5,7,be,be.png,be,
morph,be,,,are,be.png,be,
morph,be,,,am,be.png,be,
morph,be,,,is,be.png,be,
morph,be,,,was,be.png,be,
morph,be,,,were,be.png,be,
,*,5,8,have,have.png,have,
,*,5,9,here,here.png,here,
,*,5,10,Clear,,,
,*,6,1,where,where.png,where,
,*,6,2,what,what.png,what,
,*,6,3,why,why.png,why,
,*,6,4,who,who.png,who,
,*,6,5,when,when.png,when,
,*,6,6,stop,stop.png,stop,
morph,stop,,,stop,,,
morph,stop,,,stops,,,
morph,stop,,,stopped,,,
morph,stop,,,stopping,,,
,*,6,7,but,but.png,but,
,*,6,8,know,know.png,know,
morph,know,,,know,,,
morph,know,,,knows,,,
morph,know,,,knew,,,
morph,know,,,knowing,,,
,*,6,9,Morph,,,
,*,6,10,Speak,,,
group,people,1,1,Billy,,,
group,people,1,2,Suzy,,,
group,people,1,3,Zoe,,,
group,people,1,4,Lucy,,,
group,people,1,5,Ivy,,,
group,people,1,6,Teacher,teacher.png,,
group,places,1,1,home,home.png,,
group,places,1,2,school,school.png,,
group,places,1,3,mall,mall.png,,
group,places,1,4,playground,playground.png,,
group,places,1,5,grandmas,grandma.png,,
group,places,1,6,somewhere,somewhere.png,,
group,describing,1,1,red,red.png,,
group,describing,1,2,big,big.png,,
group,describing,1,3,scary,scary.png,,
group,*,5,10,Clear,,,
group,*,6,10,Speak,,,
