sys	r	g	b	name
bang-v2	255	246	246	1 Pinkish white
bang-v2	255	226	226	2 Very pale pink
bang-v2	255	194	194	3 Pale pink
bang-v2	255	158	158	4 Light pink
bang-v2	255	101	101	5 Light brilliant red
bang-v2	255	0	0	6 Luminous vivid red
bang-v2	231	218	218	7 Pinkish gray
bang-v2	231	184	184	8 Pale grayish pink
bang-v2	231	139	139	9 Pink
bang-v2	231	81	81	10 Brilliant red
bang-v2	231	0	0	11 Vivid red
bang-v2	168	156	156	12 Reddish gray
bang-v2	168	125	125	13 Grayish red
bang-v2	168	74	74	14 Moderate red
bang-v2	168	0	0	15 Strong red
bang-v2	89	83	83	16 Reddish brownish gray
bang-v2	89	66	66	17 Dark grayish reddish brown
bang-v2	89	39	39	18 Reddish brown
bang-v2	89	0	0	19 Deep reddish brown
bang-v2	29	26	26	20 Reddish brownish black
bang-v2	29	17	17	21 Very reddish brown
bang-v2	29	0	0	22 Very deep reddish brown
bang-v2	255	201	194	23 Pale scarlet
bang-v2	255	170	158	24 Very light scarlet
bang-v2	255	120	101	25 Light brilliant scarlet
bang-v2	255	32	0	26 Luminous vivid scarlet
bang-v2	231	150	139	27 Light scarlet
bang-v2	231	100	81	28 Brilliant scarlet
bang-v2	231	29	0	29 Vivid scarlet
bang-v2	168	85	74	30 Moderate scarlet
bang-v2	168	21	0	31 Strong scarlet
bang-v2	89	45	39	32 Dark scarlet
bang-v2	89	11	0	33 Deep scarlet
bang-v2	255	233	226	34 Very pale vermilion
bang-v2	255	209	194	35 Pale vermilion
bang-v2	255	182	158	36 Very light vermilion
bang-v2	255	139	101	37 Light brilliant vermilion
bang-v2	255	64	0	38 Luminous vivid vermilion
bang-v2	231	196	184	39 Pale, light grayish vermilion
bang-v2	231	162	139	40 Light vermilion
bang-v2	231	119	81	41 Brilliant vermilion
bang-v2	231	58	0	42 Vivid vermilion
bang-v2	168	136	125	43 Grayish vermilion
bang-v2	168	97	74	44 Moderate vermilion
bang-v2	168	42	0	45 Strong vermilion
bang-v2	89	72	66	46 Dark grayish vermilion
bang-v2	89	52	39	47 Dark vermilion
bang-v2	89	22	0	48 Deep vermilion
bang-v2	255	217	194	49 Pale tangelo
bang-v2	255	194	158	50 Very light tangelo
bang-v2	255	159	101	51 Light brilliant tangelo
bang-v2	255	96	0	52 Luminous vivid tangelo
bang-v2	231	174	139	53 Light tangelo
bang-v2	231	137	81	54 Brilliant tangelo
bang-v2	231	87	0	55 Vivid tangelo
bang-v2	168	109	74	56 Moderate tangelo
bang-v2	168	63	0	57 Strong tangelo
bang-v2	89	58	39	58 Dark tangelo
bang-v2	89	33	0	59 Deep tangelo
bang-v2	255	240	226	60 Very pale orange
bang-v2	255	224	194	61 Pale orange
bang-v2	255	207	158	62 Very light orange
bang-v2	255	178	101	63 Light brilliant orange
bang-v2	255	128	0	64 Luminous vivid orange
bang-v2	231	208	184	65 Pale, light grayish brown
bang-v2	231	185	139	66 Light orange
bang-v2	231	156	81	67 Brilliant orange
bang-v2	231	116	0	68 Vivid orange
bang-v2	168	147	125	69 Grayish brown
bang-v2	168	121	74	70 Moderate orange
bang-v2	168	84	0	71 Strong orange
bang-v2	89	78	66	72 Dark grayish brown
bang-v2	89	64	39	73 Brown
bang-v2	89 	45	0	74 Deep brown
bang-v2	29	23	17	75 Very brown
bang-v2	29	14	0	76 Very deep brown
bang-v2	255	232	194	77 Pale gamboge
bang-v2	255	219	158	78 Very light gamboge
bang-v2	255	197	101	79 Light brilliant gamboge
bang-v2	255	159	0	80 Luminous vivid gamboge
bang-v2	231	197	139	81 Light gamboge
bang-v2	231	175	81	82 Brilliant gamboge
bang-v2	231	145	0	83 Vivid gamboge
bang-v2	168	133	74	84 Moderate gamboge
bang-v2	168	105	0	85 Strong gamboge
bang-v2	89	70	39	86 Dark gamboge
bang-v2	89	56	0	87 Deep gamboge
bang-v2	255	248	226	88 Very pale amber
bang-v2	255	240	194	89 Pale amber
bang-v2	255	231	158	90 Very light amber
bang-v2	255	216	101	91 Light brilliant amber
bang-v2	255	191	0	92 Luminous vivid amber
bang-v2	231	220	184	93 Pale, light grayish amber
bang-v2	231	208	139	94 Light amber
bang-v2	231	194	81	95 Brilliant amber
bang-v2	231	174	0	96 Vivid amber
bang-v2	168	158	125	97 Grayish amber
bang-v2	168	145	74	98 Moderate amber
bang-v2	168	126	0	99 Strong amber
bang-v2	89	84	66	100 Dark grayish amber
bang-v2	89	77	39	101 Dark amber
bang-v2	89	67	0	102 Deep amber
bang-v2	255	247	194	103 Pale gold
bang-v2	255	243	158	104 Very light gold
bang-v2	255	236	101	105 Light brilliant gold
bang-v2	255	223	0	106 Luminous vivid gold
bang-v2	231	220	139	107 Light gold
